code,name,gender,country_long,nationality_long,birth_date
1917163,VILACA Vasco,Male,Portugal,Portugal,21/12/1999
1917269,AMAYA Baltazar,Male,Uruguay,Uruguay,26/05/1999
1917280,ARDAO Diego,Male,Uruguay,Uruguay,04/08/1995
1917308,BASSO Bautista,Male,Uruguay,Uruguay,18/01/2001
1917364,IZQUIERDO Ilana,Female,Colombia,Colombia,14/06/2002
1917365,LAWRENCE Warren Adam,Male,Dominica,Dominica,14/05/2003
1917384,GAVIRIA Mayra,Female,Colombia,Colombia,26/05/1997
1917388,MOJICA CHALARCA Laura Cristina,Female,Colombia,Colombia,20/06/2000
1917542,MONTOYA Daniela,Female,Colombia,Colombia,22/08/1990
1917559,LICONA TORRES Lina Esther,Female,Colombia,Colombia,01/10/1998
1917571,PAVI Manuela,Female,Colombia,Colombia,23/12/2000
1917583,PEREZ Catalina,Female,Colombia,Colombia,08/11/1994
1917708,RIBEIRO Gustavo,Male,Portugal,Portugal,27/03/2001
1917709,AUGUSTO Thomas,Male,Portugal,Portugal,25/04/2004
1917716,FACCIOLO Ignacio,Male,Uruguay,Uruguay,12/08/2001
1917738,CARLINI Lauren,Female,United States of America,United States of America,28/02/1995
1917741,DREWS Andrea,Female,United States of America,United States of America,25/12/1993
1917746,HANCOCK Micha,Female,United States of America,United States of America,10/11/1992
1917752,LARSON Jordan,Female,United States of America,United States of America,16/10/1986
1917756,OGBOGU Chiaka,Female,United States of America,United States of America,15/04/1995
1917757,PLUMMER Kathryn,Female,United States of America,United States of America,16/10/1998
1917758,POULTER Jordyn,Female,United States of America,United States of America,31/07/1997
1917759,RETTKE Dana,Female,United States of America,United States of America,21/01/1999
1917760,ROBINSON Kelsey,Female,United States of America,United States of America,25/06/1992
1917762,SKINNER Avery,Female,United States of America,United States of America,25/04/1999
1917765,THOMPSON Jordan,Female,United States of America,United States of America,05/05/1997
1917766,WASHINGTON Haleigh,Female,United States of America,United States of America,22/09/1995
1917769,WONG-ORANTES Justine,Female,United States of America,United States of America,06/10/1995
1917771,GONZALEZ Juan,Male,Uruguay,Uruguay,12/04/2003
1917777,ANDRE Filipe,Male,Angola,Angola,25/05/1998
1917786,ETCHEVERRY Tomas,Male,Uruguay,Uruguay,30/09/2001
1917788,GRILLE Valentin,Male,Uruguay,Uruguay,15/06/1998
1917792,LIJTENSTEIN Guillermo,Male,Uruguay,Uruguay,14/09/1990
1917794,VINALS Mateo,Male,Uruguay,Uruguay,07/10/1998
1917797,BRAZIONIS Koba,Male,Uruguay,Uruguay,07/10/1998
1917799,TAFERNABERRY Juan Manuel,Male,Uruguay,Uruguay,27/05/2002
1917802,Mc CUBBIN James,Male,Uruguay,Uruguay,27/05/1998
1917892,GRIPPOLI GAGLIARDO Maria Sara,Female,Uruguay,Uruguay,28/12/2004
1917898,RAHARVEL Jonathan,Male,Madagascar,Madagascar,24/04/2002
1917975,BUSTOS Esteban,Male,Chile,Chile,17/12/1992
1917982,MA'A Micah,Male,United States of America,United States of America,16/04/1997
1917987,ANDERSON Matthew,Male,United States of America,United States of America,18/04/1987
1917988,AVERILL Taylor,Male,United States of America,United States of America,05/03/1992
1917991,CHRISTENSON Micah,Male,United States of America,United States of America,08/05/1993
1917993,DEFALCO Torey,Male,United States of America,United States of America,10/04/1997
1917994,ENSING Kyle,Male,United States of America,United States of America,06/03/1997
1918000,HOLT Maxwell,Male,United States of America,United States of America,12/03/1987
1918002,JAESCHKE Thomas,Male,United States of America,United States of America,04/09/1993
1918003,JENDRYK II Jeffrey,Male,United States of America,United States of America,15/09/1995
1918007,MUAGUTUTIA Garrett,Male,United States of America,United States of America,26/02/1988
1918009,RUSSELL Aaron,Male,United States of America,United States of America,04/06/1993
1918011,SHOJI Erik,Male,United States of America,United States of America,24/08/1989
1918012,SMITH David,Male,United States of America,United States of America,15/05/1985
1918063,QUEJADA MINOTA Yirleidys,Female,Colombia,Colombia,10/11/2002
1918067,RAMIREZ Mayra,Female,Colombia,Colombia,25/03/1999
1918071,BENESH Andrew,Male,United States of America,United States of America,14/03/1995
1918073,BUDINGER Chase,Male,United States of America,United States of America,22/05/1988
1918077,CHENG Kelly,Female,United States of America,United States of America,18/09/1995
1918082,EVANS Miles,Male,United States of America,United States of America,12/11/1989
1918086,HUGHES Sara,Female,United States of America,United States of America,14/02/1995
1918087,KLOTH Taryn,Female,United States of America,United States of America,10/04/1997
1918092,NUSS Kristen,Female,United States of America,United States of America,16/12/1997
1918093,PARTAIN Miles,Male,United States of America,United States of America,18/12/2001
1918114,RESTREPO Marcela,Female,Colombia,Colombia,10/11/1995
1918126,LYN Sabrina,Female,Jamaica,Jamaica,26/04/2004
1918140,KIRLEW Josh,Male,Jamaica,Jamaica,09/09/1999
1918142,SALAZAR Liana,Female,Colombia,Colombia,16/09/1992
1918181,SANTOS Leicy,Female,Colombia,Colombia,16/05/1996
1918186,CHINYEMBA Patrick,Male,Zambia,Zambia,03/01/2001
1918223,SEPULVEDA Sandra,Female,Colombia,Colombia,03/03/1988
1918231,TAPIA Katherine,Female,Colombia,Colombia,07/12/1992
1918295,FAIZAD Mohammad Samim,Male,Afghanistan,Afghanistan,07/08/2002
1918303,USME Catalina,Female,Colombia,Colombia,25/12/1989
1918306,VANEGAS Manuela,Female,Colombia,Colombia,09/11/2000
1918356,WILSON Talei,Female,Fiji,Australia,03/09/1995
1918369,LIU Huanhua,Male,People's Republic of China,People's Republic of China,20/08/2001
1918372,LI Fabin,Male,People's Republic of China,People's Republic of China,15/01/1993
1918373,SHI Zhiyong,Male,People's Republic of China,People's Republic of China,10/10/1993
1918376,LI Wenwen,Female,People's Republic of China,People's Republic of China,05/03/2000
1918377,HOU Zhihui,Female,People's Republic of China,People's Republic of China,18/03/1997
1918379,LUO Shifang,Female,People's Republic of China,People's Republic of China,02/04/2001
1918417,LIU Zhiyu,Male,People's Republic of China,People's Republic of China,05/01/1993
1918419,QIU Xiuping,Female,People's Republic of China,People's Republic of China,14/10/1999
1918420,ZOU Jiaqi,Female,People's Republic of China,People's Republic of China,04/11/2001
1918421,LU Shiyu,Female,People's Republic of China,People's Republic of China,03/02/1999
1918422,WANG Zifeng,Female,People's Republic of China,People's Republic of China,12/09/1997
1918423,ZHANG Shuxian,Female,People's Republic of China,People's Republic of China,17/11/1997
1918424,CHEN Yunxia,Female,People's Republic of China,People's Republic of China,05/12/1995
1918425,CUI Xiaotong,Female,People's Republic of China,People's Republic of China,21/11/1994
1918426,LYU Yang,Female,People's Republic of China,People's Republic of China,26/11/1993
1918427,ZHANG Ling,Female,People's Republic of China,People's Republic of China,27/02/1997
1918429,SULITAN Adilijiang,Male,People's Republic of China,People's Republic of China,06/07/2000
1918468,SHEN Shuangmei,Female,People's Republic of China,People's Republic of China,02/05/1998
1918469,LIU Xiaoxin,Female,People's Republic of China,People's Republic of China,24/07/1997
1918470,XU Xingye,Female,People's Republic of China,People's Republic of China,24/02/1998
1918609,ANGSUTHASAWIT Jai,Male,Thailand,Thailand,16/02/1995
1918629,SEKI Nanami,Female,Japan,Japan,12/06/1999
1918636,ARAKI Ayaka,Female,Japan,Japan,02/09/2001
1918638,WADA Yukiko,Female,Japan,Japan,08/01/2002
1918640,IWASAKI Koyomi,Female,Japan,Japan,01/05/1989
1918654,TAKAHASHI Ran,Male,Japan,Japan,02/09/2001
1918657,TAKAHASHI Kentaro,Male,Japan,Japan,08/02/1995
1918658,TOMITA Shoma,Male,Japan,Japan,20/06/1997
1918659,FUKATSU Akihiro,Male,Japan,Japan,23/07/1987
1918661,KAI Masato,Male,Japan,Japan,25/09/2003
1918664,MIYABE Airi,Female,Japan,Japan,29/07/1998
1918666,INOUE Arisa,Female,Japan,Japan,08/05/1995
