"medal_date","medal_type","name","gender","country_long","discipline","event","birth_date","code_athlete"
"2024-08-04","Gold ","LIU Yang","Male","People's Republic of China","Artistic Gymnastics","Men's Rings","1994-08-11",1918856
"2024-08-04","Gold ","DJOKOVIC Novak","Male","Serbia","Tennis","Men's Singles","1987-05-22",1956398
"2024-08-02","Silver ","WARD McLain","Male","United States of America","Equestrian","Jumping Team","1975-10-17",1951875
"2024-08-02","Silver ","FARRINGTON Kent","Male","United States of America","Equestrian","Jumping Team","1980-12-28",1951819
"2024-08-02","Silver ","KRAUT Laura","Female","United States of America","Equestrian","Jumping Team","1965-11-14",1951840
"2024-08-02","Silver ","UNRUH Florian","Male","Germany","Archery","Mixed Team","1993-06-07",1553249
"2024-08-09","Bronze ","VIDTS Noor","Female","Belgium","Athletics","Women's Heptathlon","1996-05-30",1895596
"2024-08-02","Bronze ","SWIATEK Iga","Female","Poland","Tennis","Women's Singles","2001-05-31",1931815
"2024-08-02","Bronze ","DELESTRE Simon","Male","France","Equestrian","Jumping Team","1981-06-21",1899843
"2024-08-02","Bronze ","EPAILLARD Julien","Male","France","Equestrian","Jumping Team","1977-07-24",1899845
"2024-07-30","Silver ","APPS Olivia","Female","Canada","Rugby Sevens","Women","1998-12-01",1960762
"2024-08-02","Gold ","KOCH Mate Tamas","Male","Hungary","Fencing","Men's Épée Team","1999-09-17",1946370
"2024-08-02","Gold ","ANDRASFI Tibor","Male","Hungary","Fencing","Men's Épée Team","1999-12-10",1946278
"2024-08-02","Bronze ","FITSIOU Zoi","Female","Greece","Rowing","Lightweight Women's Double Sculls","1995-09-14",1977159
"2024-08-02","Gold ","SINKOVIC Martin","Male","Croatia","Rowing","Men's Pair","1989-11-10",1916685
"2024-08-02","Silver ","GEORGE Tom","Male","Great Britain","Rowing","Men's Pair","1994-09-22",1901066
"2024-08-02","Bronze ","ROEOESLI Roman","Male","Switzerland","Rowing","Men's Pair","1993-09-22",1977804
"2024-08-02","Bronze ","GULICH Andrin","Male","Switzerland","Rowing","Men's Pair","1999-03-09",1976556
"2024-08-04","Gold ","MAHUCHIKH Yaroslava","Female","Ukraine","Athletics","Women's High Jump","2001-09-19",1571559
"2024-08-04","Bronze ","NDOYE-BROUARD Yohann","Male","France","Swimming","Men's 4 x 100m Medley Relay","2000-11-29",1909299
"2024-08-04","Bronze ","MARCHAND Leon","Male","France","Swimming","Men's 4 x 100m Medley Relay","2002-05-17",1909294
"2024-08-04","Bronze ","SECCHI Clement","Male","France","Swimming","Men's 4 x 100m Medley Relay","2000-05-04",1909307
"2024-08-04","Bronze ","MANAUDOU Florent","Male","France","Swimming","Men's 4 x 100m Medley Relay","1990-11-12",1909292
"2024-08-04","Gold ","BERKOFF Katharine","Female","United States of America","Swimming","Women's 4 x 100m Medley Relay","2001-01-28",1935873
"2024-07-31","Bronze ","MENZEL Leonie","Female","Germany","Rowing","Women's Quadruple Sculls","1999-05-19",1906494
"2024-08-10","Bronze ","MENEZES OLIVEIRA de SOUZA Ana Cris","Female","Brazil","Volleyball","Women","2004-04-07",1964065
"2024-08-03","Gold ","BRIGHTMORE Harry","Male","Great Britain","Rowing","Men's Eight","1994-07-01",1901041
"2024-08-03","Silver ","RIENKS Ralf","Male","Netherlands","Rowing","Men's Eight","1997-09-23",1965596
"2024-08-03","Silver ","MOLENAAR Olav","Male","Netherlands","Rowing","Men's Eight","1999-03-28",1965587
"2024-08-03","Silver ","de GRAAF Sander","Male","Netherlands","Rowing","Men's Eight","1995-06-13",1965601
"2024-08-04","Silver ","OLYSLAGERS Nicola","Female","Australia","Athletics","Women's High Jump","1996-12-28",1939838
"2024-08-04","Bronze ","GERASHCHENKO Iryna","Female","Ukraine","Athletics","Women's High Jump","1995-03-10",1571577
"2024-08-09","Bronze ","HRNIC Edi","Male","Denmark","Taekwondo","Men -80kg","2003-12-26",1914832
"2024-07-30","Silver ","SMITH Regan","Female","United States of America","Swimming","Women's 100m Backstroke","2002-02-09",1935984
"2024-07-31","Gold ","FOX Jessica","Female","Australia","Canoe Slalom","Women's Canoe Single","1994-06-11",1940205
"2024-08-05","Bronze ","DEFAY Johanne","Female","France","Surfing","Women","1993-11-19",1567359
"2024-08-06","Gold ","HOCKER Cole","Male","United States of America","Athletics","Men's 1500m","2001-06-06",1960933
"2024-08-06","Silver ","KERR Josh","Male","Great Britain","Athletics","Men's 1500m","1997-10-08",1924440
"2024-08-09","Silver ","QUEIROZ Isaquias","Male","Brazil","Canoe Sprint","Men's Canoe Single 1000m","1994-01-03",1952595
"2024-08-09","Bronze ","TARNOVSCHI Serghei","Male","Republic of Moldova","Canoe Sprint","Men's Canoe Single 1000m","1997-06-24",1550295
"2024-08-09","Gold ","LAVREYSEN Harrie","Male","Netherlands","Cycling Track","Men's Sprint","1997-03-14",1969182
"2024-08-09","Silver ","RICHARDSON Matthew","Male","Australia","Cycling Track","Men's Sprint","1999-04-17",1940263
"2024-08-07","Bronze ","PETECIO Nesthy","Female","Philippines","Boxing","Women's 57kg","1992-04-11",1979904
"2024-08-08","Gold ","MIDDENDORP Floris","Male","Netherlands","Hockey","Men","2001-06-04",1971952
