"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Bronze ","2024-08-07","Mobina NEMATZADEH","Taekwondo","Women -49kg","Islamic Republic of Iran"
"Gold ","2024-08-07","LI Fabin","Weightlifting","Men's 61kg","People's Republic of China"
"Silver ","2024-08-07","Theerapong SILACHAI","Weightlifting","Men's 61kg","Thailand"
"Bronze ","2024-08-07","Hampton MORRIS","Weightlifting","Men's 61kg","United States of America"
"Gold ","2024-08-07","HOU Zhihui","Weightlifting","Women's 49kg","People's Republic of China"
"Silver ","2024-08-07","Mihaela Valentina CAMBEI","Weightlifting","Women's 49kg","Romania"
"Bronze ","2024-08-07","Surodchana KHAMBAO","Weightlifting","Women's 49kg","Thailand"
"Gold ","2024-08-07","KUSAKA Nao","Wrestling","Men's Greco-Roman 77kg","Japan"
"Silver ","2024-08-07","Demeu ZHADRAYEV","Wrestling","Men's Greco-Roman 77kg","Kazakhstan"
"Bronze ","2024-08-07","Malkhas AMOYAN","Wrestling","Men's Greco-Roman 77kg","Armenia"
"Bronze ","2024-08-07","Akzhol MAKHMUDOV","Wrestling","Men's Greco-Roman 77kg","Kyrgyzstan"
"Gold ","2024-08-07","Mohammadhadi SARAVI","Wrestling","Men's Greco-Roman 97kg","Islamic Republic of Iran"
"Silver ","2024-08-07","Artur ALEKSANYAN","Wrestling","Men's Greco-Roman 97kg","Armenia"
"Bronze ","2024-08-07","Gabriel Alejandro ROSILLO KINDELAN","Wrestling","Men's Greco-Roman 97kg","Cuba"
"Bronze ","2024-08-07","Uzur DZHUZUPBEKOV","Wrestling","Men's Greco-Roman 97kg","Kyrgyzstan"
"Gold ","2024-08-07","Sarah Ann HILDEBRANDT","Wrestling","Women's Freestyle 50kg","United States of America"
"Silver ","2024-08-07","Yusneylis GUZMAN LOPEZ","Wrestling","Women's Freestyle 50kg","Cuba"
"Bronze ","2024-08-07","SUSAKI Yui","Wrestling","Women's Freestyle 50kg","Japan"
"Bronze ","2024-08-07","FENG Ziqi","Wrestling","Women's Freestyle 50kg","People's Republic of China"
"Gold ","2024-08-08","Grant HOLLOWAY","Athletics","Men's 110m Hurdles","United States of America"
"Silver ","2024-08-08","Daniel ROBERTS","Athletics","Men's 110m Hurdles","United States of America"
"Bronze ","2024-08-08","Rasheed BROADBELL","Athletics","Men's 110m Hurdles","Jamaica"
"Gold ","2024-08-08","Letsile TEBOGO","Athletics","Men's 200m","Botswana"
"Silver ","2024-08-08","Kenneth BEDNAREK","Athletics","Men's 200m","United States of America"
"Bronze ","2024-08-08","Noah LYLES","Athletics","Men's 200m","United States of America"
"Gold ","2024-08-08","Arshad NADEEM","Athletics","Men's Javelin Throw","Pakistan"
"Silver ","2024-08-08","Neeraj CHOPRA","Athletics","Men's Javelin Throw","India"
"Bronze ","2024-08-08","Anderson PETERS","Athletics","Men's Javelin Throw","Grenada"
"Gold ","2024-08-08","Sydney McLAUGHLIN-LEVRONE","Athletics","Women's 400m Hurdles","United States of America"
"Silver ","2024-08-08","Anna COCKRELL","Athletics","Women's 400m Hurdles","United States of America"
"Bronze ","2024-08-08","Femke BOL","Athletics","Women's 400m Hurdles","Netherlands"
"Gold ","2024-08-08","Tara DAVIS-WOODHALL","Athletics","Women's Long Jump","United States of America"
"Silver ","2024-08-08","Malaika MIHAMBO","Athletics","Women's Long Jump","Germany"
"Bronze ","2024-08-08","Jasmine MOORE","Athletics","Women's Long Jump","United States of America"
"Gold ","2024-08-08","Hasanboy DUSMATOV","Boxing","Men's 51kg","Uzbekistan"
"Silver ","2024-08-08","Billal BENNAMA","Boxing","Men's 51kg","France"
"Bronze ","2024-08-08","Charlie SENIOR","Boxing","Men's 57kg","Australia"
"Bronze ","2024-08-08","Javier IBANEZ DIAZ","Boxing","Men's 57kg","Bulgaria"
"Gold ","2024-08-08","CHANG Yuan","Boxing","Women's 54kg","People's Republic of China"
"Gold ","2024-08-07","Matt WEARN","Sailing","Men's Dinghy","Australia"
"Bronze ","2024-08-08","Caitlin PARKER","Boxing","Women's 75kg","Australia"
"Bronze ","2024-08-08","Cindy Winner DJANKEU NGAMBA","Boxing","Women's 75kg","Refugee Olympic Team"
"Gold ","2024-08-08","LIU/JI","Canoe Sprint","Men's Canoe Double 500m","People's Republic of China"
"Silver ","2024-08-08","CASADEI/TACCHINI","Canoe Sprint","Men's Canoe Double 500m","Italy"
"Bronze ","2024-08-08","MORENO/DOMINGUEZ","Canoe Sprint","Men's Canoe Double 500m","Spain"
"Silver ","2024-08-08","Australia","Canoe Sprint","Men's Kayak Four 500m","Australia"
"Silver ","2024-08-08","Germany","Canoe Sprint","Women's Kayak Four 500m","Germany"
"Bronze ","2024-08-08","Hungary","Canoe Sprint","Women's Kayak Four 500m","Hungary"
"Silver ","2024-08-08","Iuri LEITAO","Cycling Track","Men's Omnium","Portugal"
"Bronze ","2024-08-08","Fabio van den BOSSCHE","Cycling Track","Men's Omnium","Belgium"
"Gold ","2024-08-08","Ellesse ANDREWS","Cycling Track","Women's Keirin","New Zealand"
"Silver ","2024-08-08","Hetty van de WOUW","Cycling Track","Women's Keirin","Netherlands"
"Bronze ","2024-08-08","Emma FINUCANE","Cycling Track","Women's Keirin","Great Britain"
"Gold ","2024-08-08","XIE Siyi","Diving","Men's 3m Springboard","People's Republic of China"
"Silver ","2024-08-08","WANG Zongyuan","Diving","Men's 3m Springboard","People's Republic of China"
