"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Gold ","2024-07-28","XIE Yu","Shooting","10m Air Pistol Men","People's Republic of China"
"Silver ","2024-07-28","Federico Nilo MALDINI","Shooting","10m Air Pistol Men","Italy"
"Bronze ","2024-07-28","Paolo MONNA","Shooting","10m Air Pistol Men","Italy"
"Silver ","2024-07-28","AKAMA Liz","Skateboarding","Women's Street","Japan"
"Bronze ","2024-07-28","Rayssa LEAL","Skateboarding","Women's Street","Brazil"
"Gold ","2024-07-28","Nicolo MARTINENGHI","Swimming","Men's 100m Breaststroke","Italy"
"Gold ","2024-08-05","Germany","Triathlon","Mixed Relay","Germany"
"Gold ","2024-07-27","Remco EVENEPOEL","Cycling Road","Men's Individual Time Trial","Belgium"
"Silver ","2024-07-28","Gretchen WALSH","Swimming","Women's 100m Butterfly","United States of America"
"Bronze ","2024-07-28","ZHANG Yufei","Swimming","Women's 100m Butterfly","People's Republic of China"
"Silver ","2024-07-29","Christopher BURTON","Equestrian","Eventing Individual","Australia"
"Bronze ","2024-07-29","Laura COLLETT","Equestrian","Eventing Individual","Great Britain"
"Gold ","2024-07-29","Great Britain","Equestrian","Eventing Team","Great Britain"
"Bronze ","2024-07-29","Japan","Equestrian","Eventing Team","Japan"
"Gold ","2024-07-29","CHEUNG Ka Long","Fencing","Men's Foil Individual","Hong Kong, China"
"Bronze ","2024-07-29","Olga KHARLAN","Fencing","Women's Sabre Individual","Ukraine"
"Gold ","2024-07-29","Hidayat HEYDAROV","Judo","Men -73 kg","Azerbaijan"
"Silver ","2024-07-29","Joan-Benjamin GABA","Judo","Men -73 kg","France"
"Bronze ","2024-07-29","Adil OSMANOV","Judo","Men -73 kg","Republic of Moldova"
"Bronze ","2024-07-29","HASHIMOTO Soichi","Judo","Men -73 kg","Japan"
"Bronze ","2024-08-02","Grant FISHER","Athletics","Men's 10,000m","United States of America"
"Silver ","2024-08-04","Bence HALASZ","Athletics","Men's Hammer Throw","Hungary"
"Silver ","2024-07-27","Australia","Swimming","Men's 4 x 100m Freestyle Relay","Australia"
"Bronze ","2024-08-02","Romane DICKO","Judo","Women +78 kg","France"
"Silver ","2024-08-08","Zaid KAREEM","Taekwondo","Men -68kg","Jordan"
"Silver ","2024-07-30","RI/KIM","Table Tennis","Mixed Doubles","Democratic People's Republic of Korea"
"Bronze ","2024-07-30","LIM/SHIN","Table Tennis","Mixed Doubles","Republic of Korea"
"Gold ","2024-07-31","OKA Shinnosuke","Artistic Gymnastics","Men's All-Around","Japan"
"Silver ","2024-07-31","ZHANG Boheng","Artistic Gymnastics","Men's All-Around","People's Republic of China"
"Bronze ","2024-07-31","XIAO Ruoteng","Artistic Gymnastics","Men's All-Around","People's Republic of China"
"Gold ","2024-07-31","Jessica FOX","Canoe Slalom","Women's Canoe Single","Australia"
"Silver ","2024-07-31","Elena LILIK","Canoe Slalom","Women's Canoe Single","Germany"
"Bronze ","2024-07-31","Evy LEIBFARTH","Canoe Slalom","Women's Canoe Single","United States of America"
"Gold ","2024-07-31","Jose TORRES GIL","Cycling BMX Freestyle","Men's Park","Argentina"
"Gold ","2024-08-09","Italy","Cycling Track","Women's Madison","Italy"
"Silver ","2024-07-30","Italy","Artistic Gymnastics","Women's Team","Italy"
"Silver ","2024-08-03","Denmark","Equestrian","Dressage Team","Denmark"
"Gold ","2024-08-09","Netherlands","Hockey","Women","Netherlands"
"Gold ","2024-08-02","Ivan LITVINOVICH","Trampoline Gymnastics","Men","AIN"
"Silver ","2024-08-03","LIU/TAN","Badminton","Women's Doubles","People's Republic of China"
"Bronze ","2024-08-03","Japan","Fencing","Women's Sabre Team","Japan"
"Silver ","2024-08-11","Croatia","Water Polo","Men","Croatia"
"Bronze ","2024-08-09","Argentina","Hockey","Women","Argentina"
"Silver ","2024-08-08","Lauriane NOLOT","Sailing","Women's Kite","France"
"Gold ","2024-08-03","France","Judo","Mixed Team","France"
"Silver ","2024-07-29","China","Artistic Gymnastics","Men's Team","People's Republic of China"
"Gold ","2024-07-30","Daniel WIFFEN","Swimming","Men's 800m Freestyle","Ireland"
"Silver ","2024-08-04","Kishane THOMPSON","Athletics","Men's 100m","Jamaica"
"Silver ","2024-08-02","Raz HERSHKO","Judo","Women +78 kg","Israel"
"Silver ","2024-08-09","Toni VODISEK","Sailing","Men's Kite","Slovenia"
"Gold ","2024-08-08","Netherlands","Hockey","Men","Netherlands"
"Silver ","2024-08-05","Spain","3x3 Basketball","Women","Spain"
"Gold ","2024-08-01","Australia","Swimming","Women's 4 x 200m Freestyle Relay","Australia"
"Bronze ","2024-08-10","Grace Jacob BULLEN","Wrestling","Women's Freestyle 62kg","Norway"
"Gold ","2024-08-11","Sifan HASSAN","Athletics","Women's Marathon","Netherlands"
"Silver ","2024-08-10","Australia","Water Polo","Women","Australia"
"Silver ","2024-08-10","France","Handball","Women","France"
"Gold ","2024-07-28","Pauline FERRAND PREVOT","Cycling Mountain Bike","Women's Cross-country","France"
"Silver ","2024-07-28","Haley BATTEN","Cycling Mountain Bike","Women's Cross-country","United States of America"
"Bronze ","2024-07-28","Jenny RISSVEDS","Cycling Mountain Bike","Women's Cross-country","Sweden"
"Bronze ","2024-07-28","Eleanor HARVEY","Fencing","Women's Foil Individual","Canada"
"Silver ","2024-07-28","Willian LIMA","Judo","Men -66 kg","Brazil"
"Bronze ","2024-07-28","Gusman KYRGYZBAYEV","Judo","Men -66 kg","Kazakhstan"
"Bronze ","2024-07-28","Denis VIERU","Judo","Men -66 kg","Republic of Moldova"
"Gold ","2024-07-28","Diyora KELDIYOROVA","Judo","Women -52 kg","Uzbekistan"
"Silver ","2024-07-28","Distria KRASNIQI","Judo","Women -52 kg","Kosovo"
"Gold ","2024-08-02","ZHENG/HUANG","Badminton","Mixed Doubles","People's Republic of China"
"Silver ","2024-08-02","KIM/JEONG","Badminton","Mixed Doubles","Republic of Korea"
"Bronze ","2024-08-02","WATANABE/HIGASHINO","Badminton","Mixed Doubles","Japan"
"Gold ","2024-08-02","Joris DAUDET","Cycling BMX Racing","Men","France"
"Silver ","2024-08-02","Sylvain ANDRE","Cycling BMX Racing","Men","France"
"Bronze ","2024-08-02","Romain MAHIEU","Cycling BMX Racing","Men","France"
"Silver ","2024-08-01","United States","Swimming","Women's 4 x 200m Freestyle Relay","United States of America"
"Bronze ","2024-08-01","China","Swimming","Women's 4 x 200m Freestyle Relay","People's Republic of China"
"Silver ","2024-08-11","France","Basketball","Women","France"
"Bronze ","2024-07-30","Laura FAZLIU","Judo","Women -63 kg","Kosovo"
"Silver ","2024-08-09","NICKA","Breaking","B-Girls","Lithuania"
"Silver ","2024-08-11","Daria PIKULIK","Cycling Track","Women's Omnium","Poland"
"Silver ","2024-08-03","Canada","Rowing","Women's Eight","Canada"
"Gold ","2024-08-09","Jordan Alejandro DIAZ FORTUN","Athletics","Men's Triple Jump","Spain"
"Gold ","2024-08-09","Beatrice CHEBET","Athletics","Women's 10,000m","Kenya"
"Bronze ","2024-08-09","Sifan HASSAN","Athletics","Women's 10,000m","Netherlands"
"Gold ","2024-08-09","United States","Athletics","Women's 4 x 100m Relay","United States of America"
"Silver ","2024-08-09","Salwa Eid NASER","Athletics","Women's 400m","Bahrain"
"Bronze ","2024-08-09","Natalia KACZMAREK","Athletics","Women's 400m","Poland"
"Gold ","2024-08-09","Yemisi OGUNLEYE","Athletics","Women's Shot Put","Germany"
"Silver ","2024-08-09","Maddison-Lee WESCHE","Athletics","Women's Shot Put","New Zealand"
"Bronze ","2024-08-09","SONG Jiayuan","Athletics","Women's Shot Put","People's Republic of China"
"Silver ","2024-08-09","Nadia BATTOCLETTI","Athletics","Women's 10,000m","Italy"
"Gold ","2024-08-09","ANA PATRICIA/DUDA","Beach Volleyball","Women","Brazil"
"Silver ","2024-08-09","MELISSA/BRANDIE","Beach Volleyball","Women","Canada"
"Bronze ","2024-08-09","HUBERLI/BRUNNER","Beach Volleyball","Women","Switzerland"
"Silver ","2024-08-09","Marco Alonso VERDE ALVAREZ","Boxing","Men's 71kg","Mexico"
"Gold ","2024-08-09","Lazizbek MULLOJONOV","Boxing","Men's 92kg","Uzbekistan"
"Silver ","2024-08-09","Loren Berto ALFONSO DOMINGUEZ","Boxing","Men's 92kg","Azerbaijan"
"Bronze ","2024-08-08","KUO Hsing-Chun","Weightlifting","Women's 59kg","Chinese Taipei"
"Gold ","2024-08-08","Saeid ESMAEILI LEIVESI","Wrestling","Men's Greco-Roman 67kg","Islamic Republic of Iran"
"Silver ","2024-08-08","Parviz NASIBOV","Wrestling","Men's Greco-Roman 67kg","Ukraine"
"Bronze ","2024-08-10","Italy","Rhythmic Gymnastics","Group All-Around","Italy"
"Silver ","2024-08-10","TAKATANI Daichi","Wrestling","Men's Freestyle 74kg","Japan"
"Bronze ","2024-08-05","Gabriel MEDINA","Surfing","Men","Brazil"
"Gold ","2024-08-11","KIYOOKA Kotaro","Wrestling","Men's Freestyle 65kg","Japan"
"Silver ","2024-08-11","Rahman AMOUZADKHALILI","Wrestling","Men's Freestyle 65kg","Islamic Republic of Iran"
"Gold ","2024-08-11","Harrie LAVREYSEN","Cycling Track","Men's Keirin","Netherlands"
"Silver ","2024-07-30","Canada","Rugby Sevens","Women","Canada"
"Silver ","2024-07-30","Türkiye 2","Shooting","10m Air Pistol Mixed Team","Türkiye"
"Bronze ","2024-07-30","India 1","Shooting","10m Air Pistol Mixed Team","India"
"Gold ","2024-07-30","Nathan HALES","Shooting","Trap Men","Great Britain"
"Silver ","2024-07-30","QI Ying","Shooting","Trap Men","People's Republic of China"
"Bronze ","2024-07-30","Jean Pierre BROL CARDENAS","Shooting","Trap Men","Guatemala"
"Gold ","2024-07-30","Great Britain","Swimming","Men's 4 x 200m Freestyle Relay","Great Britain"
"Silver ","2024-07-30","United States","Swimming","Men's 4 x 200m Freestyle Relay","United States of America"
"Bronze ","2024-07-30","Australia","Swimming","Men's 4 x 200m Freestyle Relay","Australia"
"Bronze ","2024-07-30","Brazil","Artistic Gymnastics","Women's Team","Brazil"
"Gold ","2024-07-30","Italy","Fencing","Women's Épée Team","Italy"
"Bronze ","2024-08-08","India","Hockey","Men","India"
"Bronze ","2024-08-11","Spain","Handball","Men","Spain"
"Bronze ","2024-08-10","Balint KOPASZ","Canoe Sprint","Men's Kayak Single 1000m","Hungary"
"Gold ","2024-08-10","Portugal","Cycling Track","Men's Madison","Portugal"
"Silver ","2024-07-30","France","Fencing","Women's Épée Team","France"
"Bronze ","2024-07-30","Poland","Fencing","Women's Épée Team","Poland"
"Gold ","2024-07-30","NAGASE Takanori","Judo","Men -81 kg","Japan"
"Gold ","2024-08-09","Imane KHELIF","Boxing","Women's 66kg","Algeria"
"Silver ","2024-07-30","Tato GRIGALASHVILI","Judo","Men -81 kg","Georgia"
"Bronze ","2024-07-30","LEE Joonhwan","Judo","Men -81 kg","Republic of Korea"
"Bronze ","2024-07-30","Somon MAKHMADBEKOV","Judo","Men -81 kg","Tajikistan"
"Gold ","2024-07-30","Andreja LESKI","Judo","Women -63 kg","Slovenia"
"Silver ","2024-07-30","Prisca AWITI ALCARAZ","Judo","Women -63 kg","Mexico"
"Gold ","2024-07-29","David POPOVICI","Swimming","Men's 200m Freestyle","Romania"
"Silver ","2024-08-09","Buse Naz CAKIROGLU","Boxing","Women's 50kg","Türkiye"
"Silver ","2024-08-08","Germany","Hockey","Men","Germany"
"Silver ","2024-07-29","Matthew RICHARDS","Swimming","Men's 200m Freestyle","Great Britain"
"Gold ","2024-08-04","Japan","Fencing","Men's Foil Team","Japan"
"Silver ","2024-08-02","Romania","Rowing","Women's Pair","Romania"
"Bronze ","2024-08-02","Australia","Rowing","Women's Pair","Australia"
"Bronze ","2024-08-04","Iryna GERASHCHENKO","Athletics","Women's High Jump","Ukraine"
"Bronze ","2024-08-04","Eleanor PATTERSON","Athletics","Women's High Jump","Australia"
"Silver ","2024-08-04","LIANG/WANG","Badminton","Men's Doubles","People's Republic of China"
"Bronze ","2024-08-04","CHIA/SOH","Badminton","Men's Doubles","Malaysia"
"Bronze ","2024-08-03","Christophe LAPORTE","Cycling Road","Men's Road Race","France"
"Bronze ","2024-08-04","Gregoria Mariska TUNJUNG","Badminton","Women's Singles","Indonesia"
"Bronze ","2024-08-04","Yunior ALCANTARA REYES","Boxing","Men's 51kg","Dominican Republic"
"Bronze ","2024-08-04","Cristian Javier PINALES","Boxing","Men's 80kg","Dominican Republic"
"Bronze ","2024-07-29","Mona Mc SHARRY","Swimming","Women's 100m Breaststroke","Ireland"
"Gold ","2024-07-29","Korea","Archery","Men's Team","Republic of Korea"
"Silver ","2024-08-11","Matthew RICHARDSON","Cycling Track","Men's Keirin","Australia"
"Bronze ","2024-08-11","Matthew GLAETZER","Cycling Track","Men's Keirin","Australia"
"Silver ","2024-08-03","Japan","Judo","Mixed Team","Japan"
"Bronze ","2024-08-09","PASZEK/HAKE","Canoe Sprint","Women's Kayak Double 500m","Germany"
"Bronze ","2024-08-02","Greece","Rowing","Lightweight Men's Double Sculls","Greece"
"Gold ","2024-08-02","Great Britain","Rowing","Lightweight Women's Double Sculls","Great Britain"
"Silver ","2024-08-02","Romania","Rowing","Lightweight Women's Double Sculls","Romania"
"Bronze ","2024-08-02","Greece","Rowing","Lightweight Women's Double Sculls","Greece"
"Bronze ","2024-08-02","Switzerland","Rowing","Men's Pair","Switzerland"
"Gold ","2024-08-02","Netherlands","Rowing","Women's Pair","Netherlands"
"Silver ","2024-08-01","Ilia SULAMANIDZE","Judo","Men -100 kg","Georgia"
"Bronze ","2024-07-29","Türkiye","Archery","Men's Team","Türkiye"
"Silver ","2024-08-09","Sweden","Table Tennis","Men's Team","Sweden"
"Bronze ","2024-08-01","Muzaffarbek TUROBOYEV","Judo","Men -100 kg","Uzbekistan"
"Silver ","2024-08-01","Inbar LANIR","Judo","Women -78 kg","Israel"
"Bronze ","2024-08-01","MA Zhenzhao","Judo","Women -78 kg","People's Republic of China"
"Bronze ","2024-08-01","Patricia SAMPAIO","Judo","Women -78 kg","Portugal"
"Gold ","2024-08-01","Romania","Rowing","Men's Double Sculls","Romania"
"Gold ","2024-08-01","Summer McINTOSH","Swimming","Women's 200m Butterfly","Canada"
"Silver ","2024-08-03","Kate DOUGLASS","Swimming","Women's 200m Individual Medley","United States of America"
"Bronze ","2024-08-03","Kaylee McKEOWN","Swimming","Women's 200m Individual Medley","Australia"
"Bronze ","2024-08-01","Great Britain","Rowing","Men's Four","Great Britain"
"Bronze ","2024-08-02","KIM Hayun","Judo","Women +78 kg","Republic of Korea"
"Bronze ","2024-08-08","Morocco","Football","Men","Morocco"
"Gold ","2024-08-07","Quincy HALL","Athletics","Men's 400m","United States of America"
"Silver ","2024-08-07","Matthew HUDSON-SMITH","Athletics","Men's 400m","Great Britain"
"Bronze ","2024-08-07","Muzala SAMUKONGA","Athletics","Men's 400m","Zambia"
"Gold ","2024-08-03","Great Britain","Rowing","Men's Eight","Great Britain"
"Silver ","2024-08-02","BOBECK/NETZLER","Sailing","Women's Skiff","Sweden"
"Silver ","2024-08-05","Tsige DUGUMA","Athletics","Women's 800m","Ethiopia"
"Gold ","2024-07-28","OH Ye Jin","Shooting","10m Air Pistol Women","Republic of Korea"
"Silver ","2024-07-28","KIM Yeji","Shooting","10m Air Pistol Women","Republic of Korea"
"Gold ","2024-07-28","YOSHIZAWA Coco","Skateboarding","Women's Street","Japan"
"Bronze ","2024-08-01","Jemima MONTAG","Athletics","Women's 20km Race Walk","Australia"
"Gold ","2024-07-31","PAN Zhanle","Swimming","Men's 100m Freestyle","People's Republic of China"
"Gold ","2024-08-04","LEE/WANG","Badminton","Men's Doubles","Chinese Taipei"
"Gold ","2024-07-31","Great Britain","Rowing","Women's Quadruple Sculls","Great Britain"
"Gold ","2024-08-10","Norway","Handball","Women","Norway"
"Gold ","2024-08-05","Rebeca ANDRADE","Artistic Gymnastics","Women's Floor Exercise","Brazil"
"Bronze ","2024-08-05","Ana BARBOSU","Artistic Gymnastics","Women's Floor Exercise","Romania"
"Gold ","2024-08-05","Beatrice CHEBET","Athletics","Women's 5000m","Kenya"
"Gold ","2024-08-08","LUO Shifang","Weightlifting","Women's 59kg","People's Republic of China"
"Gold ","2024-08-09","Asadkhuja MUYDINKHUJAEV","Boxing","Men's 71kg","Uzbekistan"
"Gold ","2024-08-09","WU Yu","Boxing","Women's 50kg","People's Republic of China"
"Silver ","2024-08-09","YANG Liu","Boxing","Women's 66kg","People's Republic of China"
"Bronze ","2024-08-09","671","Breaking","B-Girls","People's Republic of China"
"Gold ","2024-08-09","Canada","Athletics","Men's 4 x 100m Relay","Canada"
"Gold ","2024-08-09","Martin FUKSA","Canoe Sprint","Men's Canoe Single 1000m","Czechia"
"Silver ","2024-08-09","Isaquias QUEIROZ","Canoe Sprint","Men's Canoe Single 1000m","Brazil"
"Bronze ","2024-08-09","Serghei TARNOVSCHI","Canoe Sprint","Men's Canoe Single 1000m","Republic of Moldova"
"Gold ","2024-08-09","SCHOPF/LEMKE","Canoe Sprint","Men's Kayak Double 500m","Germany"
"Gold ","2024-08-10","Hamish KERR","Athletics","Men's High Jump","New Zealand"
"Silver ","2024-08-09","NADAS/TOTKA","Canoe Sprint","Men's Kayak Double 500m","Hungary"
"Bronze ","2024-08-09","van der WE/GREEN","Canoe Sprint","Men's Kayak Double 500m","Australia"
"Gold ","2024-08-09","XU/SUN","Canoe Sprint","Women's Canoe Double 500m","People's Republic of China"
"Bronze ","2024-08-10","Neisi Patricia DAJOMES BARRERA","Weightlifting","Women's 81kg","Ecuador"
"Gold ","2024-08-10","Geno PETRIASHVILI","Wrestling","Men's Freestyle 125kg","Georgia"
"Silver ","2024-08-10","Amir Hossein ZARE","Wrestling","Men's Freestyle 125kg","Islamic Republic of Iran"
"Bronze ","2024-08-10","Taha AKGUL","Wrestling","Men's Freestyle 125kg","Türkiye"
"Bronze ","2024-08-10","Giorgi MESHVILDISHVILI","Wrestling","Men's Freestyle 125kg","Azerbaijan"
"Gold ","2024-08-10","Razambek Salambekovitch JAMALOV","Wrestling","Men's Freestyle 74kg","Uzbekistan"
"Bronze ","2024-08-10","Kyle Douglas DAKE","Wrestling","Men's Freestyle 74kg","United States of America"
"Bronze ","2024-08-10","Chermen VALIEV","Wrestling","Men's Freestyle 74kg","Albania"
"Gold ","2024-08-10","MOTOKI Sakura","Wrestling","Women's Freestyle 62kg","Japan"
"Silver ","2024-08-10","Iryna KOLIADENKO","Wrestling","Women's Freestyle 62kg","Ukraine"
"Bronze ","2024-08-10","Aisuluu TYNYBEKOVA","Wrestling","Women's Freestyle 62kg","Kyrgyzstan"
"Silver ","2024-08-06","HIRAKI Cocona","Skateboarding","Women's Park","Japan"
"Bronze ","2024-08-04","Enmanuel REYES PLA","Boxing","Men's 92kg","Spain"
"Bronze ","2024-08-04","PANG Cholmi","Boxing","Women's 54kg","Democratic People's Republic of Korea"
"Bronze ","2024-08-04","IM Aeji","Boxing","Women's 54kg","Republic of Korea"
"Gold ","2024-08-04","Kristen FAULKNER","Cycling Road","Women's Road Race","United States of America"
"Silver ","2024-08-04","Marianne VOS","Cycling Road","Women's Road Race","Netherlands"
"Bronze ","2024-08-04","Lotte KOPECKY","Cycling Road","Women's Road Race","Belgium"
"Gold ","2024-08-04","Jessica von BREDOW-WERNDL","Equestrian","Dressage Individual","Germany"
"Silver ","2024-08-10","Marco AROP","Athletics","Men's 800m","Canada"
"Gold ","2024-07-30","Kaylee McKEOWN","Swimming","Women's 100m Backstroke","Australia"
"Silver ","2024-07-30","Regan SMITH","Swimming","Women's 100m Backstroke","United States of America"
"Bronze ","2024-07-30","Katharine BERKOFF","Swimming","Women's 100m Backstroke","United States of America"
"Gold ","2024-07-30","WANG/SUN","Table Tennis","Mixed Doubles","People's Republic of China"
"Silver ","2024-08-02","WANG/ZHANG","Tennis","Mixed Doubles","People's Republic of China"
"Silver ","2024-08-02","WANG Zisai","Trampoline Gymnastics","Men","People's Republic of China"
"Bronze ","2024-08-02","YAN Langyu","Trampoline Gymnastics","Men","People's Republic of China"
"Gold ","2024-08-02","Bryony PAGE","Trampoline Gymnastics","Women","Great Britain"
"Silver ","2024-08-02","Viyaleta BARDZILOUSKAYA","Trampoline Gymnastics","Women","AIN"
"Bronze ","2024-08-02","Sophiane METHOT","Trampoline Gymnastics","Women","Canada"
"Gold ","2024-08-03","LIM Sihyeon","Archery","Women's Individual","Republic of Korea"
"Gold ","2024-07-27","Yeldos SMETOV","Judo","Men -60 kg","Kazakhstan"
"Silver ","2024-08-03","NAM Suhyeon","Archery","Women's Individual","Republic of Korea"
"Bronze ","2024-08-03","Lisa BARBELIN","Archery","Women's Individual","France"
"Silver ","2024-08-10","Poland","Volleyball","Men","Poland"
"Gold ","2024-08-03","Carlos Edriel YULO","Artistic Gymnastics","Men's Floor Exercise","Philippines"
"Silver ","2024-08-03","Artem DOLGOPYAT","Artistic Gymnastics","Men's Floor Exercise","Israel"
"Silver ","2024-08-03","Sha'carri RICHARDSON","Athletics","Women's 100m","United States of America"
"Bronze ","2024-08-03","Melissa JEFFERSON","Athletics","Women's 100m","United States of America"
"Silver ","2024-08-05","Faith KIPYEGON","Athletics","Women's 5000m","Kenya"
"Gold ","2024-08-03","Thea LAFOND","Athletics","Women's Triple Jump","Dominica"
"Gold ","2024-07-29","HORIGOME Yuto","Skateboarding","Men's Street","Japan"
"Silver ","2024-07-31","DPR Korea","Diving","Women's Synchronised 10m Platform","Democratic People's Republic of Korea"
"Silver ","2024-08-07","Pavlos KONTIDES","Sailing","Men's Dinghy","Cyprus"
"Gold ","2024-08-10","PHIL WIZARD","Breaking","B-Boys","Canada"
"Gold ","2024-08-03","EBDEN/PEERS","Tennis","Men's Doubles","Australia"
"Bronze ","2024-08-10","Denmark","Handball","Women","Denmark"
"Silver ","2024-08-11","Germany","Handball","Men","Germany"
"Bronze ","2024-07-28","Carson FOSTER","Swimming","Men's 400m Individual Medley","United States of America"
"Gold ","2024-07-28","Torri HUSKE","Swimming","Women's 100m Butterfly","United States of America"
"Silver ","2024-08-01","Regan SMITH","Swimming","Women's 200m Butterfly","United States of America"
"Bronze ","2024-08-01","ZHANG Yufei","Swimming","Women's 200m Butterfly","People's Republic of China"
"Silver ","2024-08-09","France","Football","Men","France"
"Bronze ","2024-08-11","Milaimy de la Carid. MARIN POTRILLE","Wrestling","Women's Freestyle 76kg","Cuba"
"Gold ","2024-07-31","Barbara MATIC","Judo","Women -70 kg","Croatia"
"Gold ","2024-08-10","France","Volleyball","Men","France"
"Silver ","2024-08-02","Germany","Archery","Mixed Team","Germany"
"Gold ","2024-08-01","Zelym KOTSOIEV","Judo","Men -100 kg","Azerbaijan"
"Silver ","2024-07-29","HUANG Yuting","Shooting","10m Air Rifle Women","People's Republic of China"
"Bronze ","2024-07-29","Audrey GOGNIAT","Shooting","10m Air Rifle Women","Switzerland"
"Silver ","2024-08-10","Brooke RABOUTOU","Sport Climbing","Women's Boulder & Lead","United States of America"
"Gold ","2024-08-05","Kauli VAAST","Surfing","Men","France"
"Gold ","2024-07-29","Japan","Artistic Gymnastics","Men's Team","Japan"
"Gold ","2024-07-30","New Zealand","Rugby Sevens","Women","New Zealand"
"Bronze ","2024-07-30","United States","Rugby Sevens","Women","United States of America"
"Gold ","2024-07-30","Serbia","Shooting","10m Air Pistol Mixed Team","Serbia"
"Silver ","2024-08-08","Maude CHARRON","Weightlifting","Women's 59kg","Canada"
"Gold ","2024-08-06","Amit ELOR","Wrestling","Women's Freestyle 68kg","United States of America"
"Silver ","2024-08-06","Meerim ZHUMANAZAROVA","Wrestling","Women's Freestyle 68kg","Kyrgyzstan"
"Bronze ","2024-08-06","Buse CAVUSOGLU TOSUN","Wrestling","Women's Freestyle 68kg","Türkiye"
"Gold ","2024-08-06","Christian KUKUK","Equestrian","Jumping Individual","Germany"
"Bronze ","2024-08-06","OZAKI Nonoka","Wrestling","Women's Freestyle 68kg","Japan"
"Gold ","2024-08-07","China","Artistic Swimming","Team","People's Republic of China"
"Silver ","2024-08-07","Kenneth ROOKS","Athletics","Men's 3000m Steeplechase","United States of America"
"Silver ","2024-07-29","Filippo MACCHI","Fencing","Men's Foil Individual","Italy"
"Bronze ","2024-08-06","Mattia FURLANI","Athletics","Men's Long Jump","Italy"
"Gold ","2024-08-06","Gabrielle THOMAS","Athletics","Women's 200m","United States of America"
"Silver ","2024-08-06","Julien ALFRED","Athletics","Women's 200m","Saint Lucia"
"Bronze ","2024-08-06","Brittany BROWN","Athletics","Women's 200m","United States of America"
"Gold ","2024-08-06","Winfred YAVI","Athletics","Women's 3000m Steeplechase","Bahrain"
"Silver ","2024-08-06","Peruth CHEMUTAI","Athletics","Women's 3000m Steeplechase","Uganda"
"Bronze ","2024-08-06","Faith CHEROTICH","Athletics","Women's 3000m Steeplechase","Kenya"
"Gold ","2024-08-01","Giovanni de GENNARO","Canoe Slalom","Men's Kayak Single","Italy"
"Silver ","2024-08-01","Titouan CASTRYCK","Canoe Slalom","Men's Kayak Single","France"
"Bronze ","2024-08-01","Pau ECHANIZ","Canoe Slalom","Men's Kayak Single","Spain"
"Bronze ","2024-08-01","Japan","Fencing","Women's Foil Team","Japan"
"Gold ","2024-08-10","KITAGUCHI Haruka","Athletics","Women's Javelin Throw","Japan"
"Silver ","2024-08-10","Jo-Ane van DYK","Athletics","Women's Javelin Throw","South Africa"
"Bronze ","2024-07-31","Penny SMITH","Shooting","Trap Women","Australia"
"Gold ","2024-08-09","AMI","Breaking","B-Girls","Japan"
"Gold ","2024-08-08","Rizki JUNIANSYAH","Weightlifting","Men's 73kg","Indonesia"
"Silver ","2024-07-31","Hungary","Fencing","Men's Sabre Team","Hungary"
"Bronze ","2024-08-03","Rajindra CAMPBELL","Athletics","Men's Shot Put","Jamaica"
"Gold ","2024-07-28","ABE Hifumi","Judo","Men -66 kg","Japan"
"Silver ","2024-08-08","Weeraphon WICHUMA","Weightlifting","Men's 73kg","Thailand"
"Bronze ","2024-08-08","Bozhidar Dimitrov ANDREEV","Weightlifting","Men's 73kg","Bulgaria"
"Bronze ","2024-07-27","Francisco GARRIGOS","Judo","Men -60 kg","Spain"
"Gold ","2024-07-27","TSUNODA Natsumi","Judo","Women -48 kg","Japan"
"Silver ","2024-07-27","Baasankhuu BAVUUDORJ","Judo","Women -48 kg","Mongolia"
"Bronze ","2024-07-27","Shirine BOUKLI","Judo","Women -48 kg","France"
"Bronze ","2024-07-27","Tara BABULFATH","Judo","Women -48 kg","Sweden"
"Gold ","2024-07-27","France","Rugby Sevens","Men","France"
"Silver ","2024-07-27","Fiji","Rugby Sevens","Men","Fiji"
"Bronze ","2024-07-27","South Africa","Rugby Sevens","Men","South Africa"
"Gold ","2024-07-27","China 1","Shooting","10m Air Rifle Mixed Team","People's Republic of China"
"Silver ","2024-07-27","Korea 1","Shooting","10m Air Rifle Mixed Team","Republic of Korea"
"Bronze ","2024-07-27","Kazakhstan 1","Shooting","10m Air Rifle Mixed Team","Kazakhstan"
"Gold ","2024-07-27","United States","Swimming","Men's 4 x 100m Freestyle Relay","United States of America"
"Gold ","2024-08-09","Spain","Football","Men","Spain"
"Silver ","2024-08-04","Gregorio PALTRINIERI","Swimming","Men's 1500m Freestyle","Italy"
"Bronze ","2024-08-04","Daniel WIFFEN","Swimming","Men's 1500m Freestyle","Ireland"
"Gold ","2024-08-04","China","Swimming","Men's 4 x 100m Medley Relay","People's Republic of China"
"Silver ","2024-08-04","United States","Swimming","Men's 4 x 100m Medley Relay","United States of America"
"Bronze ","2024-08-04","France","Swimming","Men's 4 x 100m Medley Relay","France"
"Gold ","2024-08-04","United States","Swimming","Women's 4 x 100m Medley Relay","United States of America"
"Bronze ","2024-08-04","China","Swimming","Women's 4 x 100m Medley Relay","People's Republic of China"
