"code","athlete_name","gender","country","nationality","birth_date"
"1966766","KORREL Michael","Male","Netherlands","Netherlands","1994-02-27"
"1966768","SNIPPE Jelle","Male","Netherlands","Netherlands","1998-09-19"
"1966875","VORSSELMAN Ruth","Female","Netherlands","Netherlands","1997-03-23"
"1966877","KONIJN Selma","Female","Netherlands","Netherlands","1999-04-29"
"1966879","WEGMAN Martina","Female","Netherlands","Netherlands","1989-06-13"
"1966881","TEUNISSEN Lena","Female","Netherlands","Netherlands","1997-08-17"
"1966883","OTTEN Joris","Male","Netherlands","Netherlands","1997-12-01"
"1966914","ZWETSLOOT Roos","Female","Netherlands","Netherlands","2000-07-27"
"1966915","OLDENBEUVING Keet","Female","Netherlands","Netherlands","2004-09-01"
"1966919","TARGHALLINE Oussama","Male","Morocco","Morocco","2002-05-20"
"1966925","EERLAND Britt","Female","Netherlands","Netherlands","1994-02-22"
"1966945","RUS Arantxa","Female","Netherlands","Netherlands","1990-12-13"
"1966946","SCHUURS Demi","Female","Netherlands","Netherlands","1993-08-01"
"1966948","HAASE Robin","Male","Netherlands","Netherlands","1987-04-06"
"1966949","ROJER Jean-Julien","Male","Netherlands","Netherlands","1981-08-25"
"1966950","GRIEKSPOOR Tallon","Male","Netherlands","Netherlands","1996-07-02"
"1966952","KOOLHOF Wesley","Male","Netherlands","Netherlands","1989-04-17"
"1966987","FARINANGO BERRU David Andres","Male","Ecuador","Ecuador","2000-10-20"
"1967053","MANAOUT Haytam","Male","Morocco","Morocco","2001-04-18"
"1967057","MAC NEIL Margaret","Female","Canada","Canada","2000-02-26"
"1967058","KHARUN Ilya","Male","Canada","Canada","2005-02-07"
"1967062","O'CROININ Emma","Female","Canada","Canada","2003-05-22"
"1967063","ACEVEDO Javier","Male","Canada","Canada","1998-01-28"
"1967065","KNOX Finlay","Male","Canada","Canada","2001-01-08"
"1967069","LIENDO Josh","Male","Canada","Canada","2002-08-20"
"1967074","ANGUS Sophie","Female","Canada","Canada","1999-03-12"
"1967084","RUCK Taylor","Female","Canada","Canada","2000-05-28"
"1967086","WOG Kelsey","Female","Canada","Canada","1998-09-19"
"1967088","HARVEY Mary-Sophie","Female","Canada","Canada","1999-08-11"
"1967092","BROUSSEAU Julie","Female","Canada","Canada","2006-01-09"
"1967095","JANSEN Ella","Female","Canada","Canada","2005-09-01"
"1967099","OLEKSIAK Penny","Female","Canada","Canada","2000-06-13"
"1967104","MASSE Kylie","Female","Canada","Canada","1996-01-18"
"1967105","PICKREM Sydney","Female","Canada","Canada","1997-05-21"
"1967108","SMITH Rebecca","Female","Canada","Canada","2000-03-14"
"1967110","FINLIN Emma","Female","Canada","Canada","2005-04-27"
"1967119","WILM Ingrid","Female","Canada","Canada","1998-06-08"
"1967125","JANKOVICS Tristan","Male","Canada","Canada","2004-05-10"
"1967138","KISIL Yuri","Male","Canada","Canada","1995-09-18"
"1967140","McINTOSH Summer","Female","Canada","Canada","2006-08-18"
"1967144","WIGGINTON Lorne","Male","Canada","Canada","2005-10-27"
"1967151","AXON Alex","Male","Canada","Canada","2003-06-01"
"1967153","DOUTHWRIGHT Brooklyn","Female","Canada","Canada","2003-05-20"
"1967156","TIERNEY Blake","Male","Canada","Canada","2002-01-10"
"1967157","HESS Apollo","Male","Canada","Canada","2002-07-15"
"1967158","HUSSEY Patrick","Male","Canada","Canada","2001-03-01"
"1967163","BAGSHAW Jeremy","Male","Canada","Canada","1992-04-21"
"1967172","MAOUHOUB Mehdi","Male","Morocco","Morocco","2003-06-05"
"1967180","AWUJO Simi","Female","Canada","Canada","2003-09-23"
"1967181","BECKIE Janine","Female","Canada","Canada","1994-08-20"
"1967183","BUCHANAN Kadeisha","Female","Canada","Canada","1995-11-11"
"1967185","CARLE Gabrielle","Female","Canada","Canada","1998-10-12"
"1967192","D'ANGELO Sabrina","Female","Canada","Canada","1993-05-11"
"1967194","FLEMING Jessie","Female","Canada","Canada","1998-03-10"
"1967196","GILLES Vanessa","Female","Canada","Canada","1996-03-11"
"1967197","GROSSO Julia","Female","Canada","Canada","2000-08-28"
"1967200","HUITEMA Jordyn","Female","Canada","Canada","2001-05-07"
"1967203","LACASSE Cloe","Female","Canada","Canada","1993-07-06"
"1967207","LAWRENCE Ashley","Female","Canada","Canada","1995-06-11"
"1967208","LEON Adriana","Female","Canada","Canada","1992-10-02"
"1967216","PRINCE Nichelle","Female","Canada","Canada","1995-02-19"
"1967218","QUINN","Female","Canada","Canada","1995-08-11"
"1967220","RIVIERE Jayde","Female","Canada","Canada","2001-01-22"
"1967221","ROSE Jade","Female","Canada","Canada","2003-02-12"
"1967225","SHERIDAN Kailen","Female","Canada","Canada","1995-07-16"
"1967232","VIENS Evelyne","Female","Canada","Canada","1997-02-06"
"1967236","ZADORSKY Shelina","Female","Canada","Canada","1992-10-23"
"1967241","BEN SEGHIR Eliesse","Male","Morocco","Morocco","2005-02-16"
"1967252","ROSE Alex","Male","Samoa","Samoa","1991-11-17"
"1967338","BUKOVEC Sophie","Female","Canada","Canada","1995-09-22"
"1967339","DEARING Daniel","Male","Canada","Canada","1990-01-13"
"1967340","HUMANA-PAREDES Melissa","Female","Canada","Canada","1992-10-10"
"1967345","SCHACHTER Samuel","Male","Canada","Canada","1990-05-08"
"1967346","WILKERSON Brandie","Female","Canada","Canada","1992-07-01"
"1967347","BANSLEY Heather","Female","Canada","Canada","1987-09-13"
"1967389","CREVIER Axelle","Female","Canada","Canada","1997-03-22"
"1967392","la ROCHE Shae","Female","Canada","Canada","1992-09-03"
"1967393","BROWNE Serena","Female","Canada","Canada","2004-03-15"
"1967394","McKELVEY Hayley","Female","Canada","Canada","1996-03-11"
"1967395","BAKOC Verica","Female","Canada","Canada","1999-05-03"
"1967398","GAUDREAULT Jessica","Female","Canada","Canada","1994-07-18"
"1967400","McDOWELL Blaire","Female","Canada","Canada","2000-08-09"
"1967401","MIMIDES Marilia","Female","Canada","Canada","1997-11-28"
"1967403","WRIGHT Emma","Female","Canada","Canada","1996-11-16"
"1967405","LEMAY-LAVOIE Elyse","Female","Canada","Canada","1994-11-12"
"1967407","PAUL Kindred","Female","Canada","Canada","1996-02-22"
"1967408","LEKNESS Rae","Female","Canada","Canada","1994-04-12"
"1967410","VULPISI Clara","Female","Canada","Canada","1998-07-15"
"1967431","YAKOVLEV Vladislav","Male","Kazakhstan","Kazakhstan","1993-01-01"
"1967435","JONES Aislin","Female","Australia","Australia","2000-02-08"
"1967440","SKINNER Catherine","Female","Australia","Australia","1990-02-11"
"1967442","SAMPSON Dane","Male","Australia","Australia","1986-08-20"
"1967444","GALIABOVITCH Elena","Female","Australia","Australia","1989-11-13"
"1967446","ROSSITER Jack","Male","Australia","Australia","1997-06-13"
"1967447","WILLETT James","Male","Australia","Australia","1995-12-23"
"1967448","BELL Joshua","Male","Australia","Australia","1994-05-20"
"1967451","ILES Mitchell","Male","Australia","Australia","1999-03-25"
"1967454","SMITH Penny","Female","Australia","Australia","1995-04-21"
"1967457","EVGLEVSKI Sergei","Male","Australia","Australia","1997-10-15"
